33.56,1.59,31.19,-4.14,31.58,4.69,-0.11,23.54,15.54,31.53,-2.68,40.5,31.48,31.48,31.48,31.48,31.48,31.48,31.48
32.45,1.98,32.96,-3.84,32.59,3.99,-0.74,22.54,15.16,32.68,-2.64,39.57,32.73,32.73,32.73,32.73,32.73,32.73,32.73
34.19,2.21,31.54,-4.33,32,5.76,0.28,24,20,31.92,-2.34,41.26,31.86,31.86,31.86,31.86,31.86,31.86,31.86
40.28,1.47,37.57,-4.16,37.95,6.4,0.06,28.93,15.67,37.9,-2.72,44.09,37.85,37.85,37.85,37.85,37.85,37.85,37.85
38.07,1.47,35.54,-3.33,35.96,5.83,0,27.77,10.47,35.89,-3.86,42.93,35.84,35.84,35.84,35.84,35.84,35.84,35.84
33.74,1.4,31.51,-3.25,31.85,4.32,0.01,24.21,11.28,31.79,-2.4,38.13,31.75,31.75,31.75,31.75,31.75,31.75,31.75
33.41,1.21,31.23,-3.33,31.56,4.05,-0.11,23.74,10.67,31.53,-2.43,38.44,31.47,31.47,31.47,31.47,31.47,31.47,31.47
32.87,0.86,29.55,-3.76,30.18,3.57,-0.25,23.46,10.72,30.08,-2.83,37.5,30,30,30,30,30,30,30
33.72,1.05,31.08,-2.91,31.55,3.46,-0.03,23.57,10.91,31.46,-2.78,34.93,31.41,31.41,31.41,31.41,31.41,31.41,31.41
34.19,1.33,33.85,-1.32,33.69,2.32,-0.35,23.64,10.92,33.76,-2.85,34.69,33.77,33.77,33.77,33.77,33.77,33.77,33.77
39.38,2.83,31.86,-3.76,33.53,6.7,2.13,28.81,34.17,33.22,-1.25,38.52,33,33,33,33,33,33,33
37.45,2.49,30.42,-1.46,31.99,5.84,2.73,27.18,20.07,31.69,-1.16,35.97,31.49,31.49,31.49,31.49,31.49,31.49,31.49
33.22,1.53,30.18,-0.8,30.74,3.2,1.02,23.23,10.9,30.65,-1.58,33.33,30.57,30.57,30.57,30.57,30.57,30.57,30.57
30.7,0.65,30.43,-2.26,30.27,0.82,-0.93,20.75,12.62,30.32,-2.14,32.06,30.34,30.34,30.34,30.34,30.34,30.34,30.34
34.97,1.59,28.59,-4.06,30.06,4.32,0.99,26.1,27.2,29.77,-2.64,33.86,29.58,29.58,29.58,29.58,29.58,29.58,29.58
37.53,1.78,30.31,-4.35,31.99,5.12,1.31,28.68,29.41,31.67,-2.81,35.08,31.45,31.45,31.45,31.45,31.45,31.45,31.45
45.55,2.09,44.2,-4.43,44.3,5.7,0.19,33.4,30.41,44.31,-2.42,42.68,44.29,44.29,44.29,44.29,44.29,44.29,44.29
40.24,1.47,38.77,-3.37,38.93,4.13,0.02,29.58,20.83,38.91,-2.53,36.38,38.89,38.89,38.89,38.89,38.89,38.89,38.89
38.52,1.84,36.65,-4.25,36.93,3.95,0.03,28.68,26.93,36.89,-2.3,34.91,36.85,36.85,36.85,36.85,36.85,36.85,36.85
38.25,1.13,35.91,-4.42,36.32,3.79,-0.17,28.76,16.91,36.25,-2.64,31.7,36.2,36.2,36.2,36.2,36.2,36.2,36.2
31.98,0.71,30.66,-3.62,30.83,1.76,-0.88,23.66,15.5,30.8,-2.6,29.79,30.78,30.78,30.78,30.78,30.78,30.78,30.78
35.69,1.02,34.16,-4.14,34.37,3.25,-0.48,26.96,15.68,34.35,-2.61,30.45,34.32,34.32,34.32,34.32,34.32,34.32,34.32
30.14,1.58,25.63,-4.84,26.56,3.45,0.28,19.66,24.03,26.39,-2.32,31.74,26.26,26.26,26.26,26.26,26.26,26.26,26.26
28.83,1.19,24.75,-4.49,25.57,2.79,-0.01,18.7,18.81,25.42,-2.37,29.71,25.31,25.31,25.31,25.31,25.31,25.31,25.31
29.07,1.16,24.72,-5.36,25.64,3.03,-0.19,18.86,21.96,25.44,-2.75,29.76,25.33,25.33,25.33,25.33,25.33,25.33,25.33
